Name,Admission Rate,6-year Median Salary,CS Degree %,Undergrad Size,In-state Tuition,Out-of-state Tuition,City,State,Setting,SAT 25th % Critical Reading,SAT 75th % Critical Reading,SAT 25th % Math,SAT 75th % Math,SAT 25th % Writing,SAT 75th % Writing,SAT Average
"=HYPERLINK(""https://www.bc.edu/"", ""Boston College"")",26.38%,$70858,4.22%,9681,$60202,$60202,Chestnut Hill,MA,city,660,730,670,770,640,730,1433
"=HYPERLINK(""https://www.brown.edu/"", ""Brown University"")",7.67%,$60341,12.28%,6632,$60696,$60696,Providence,RI,city,710,770,730,790,690,780,1508
"=HYPERLINK(""https://www.bucknell.edu/"", ""Bucknell University"")",37.53%,$70178,1.88%,3684,$58202,$58202,Lewisburg,PA,town,620,700,630,730,590,690,1353
"=HYPERLINK(""https://www.caltech.edu/"", ""California Institute of Technology"")",6.69%,$129420,35.27%,901,$56862,$56862,Pasadena,CA,city,740,780,790,800,730,800,1566
"=HYPERLINK(""https://calpoly.edu/"", ""California Polytechnic State University-San Luis Obispo"")",38.43%,$66662,3.94%,21451,$10071,$25971,San Luis Obispo,CA,suburb,610,690,610,720,,,1325
"=HYPERLINK(""https://www.cmu.edu/"", ""Carnegie Mellon University"")",17.27%,$87824,13.72%,6539,$58810,$58810,Pittsburgh,PA,city,700,760,760,800,670,760,1513
"=HYPERLINK(""https://www.case.edu/"", ""Case Western Reserve University"")",30.27%,$65156,10.34%,5360,$52948,$52948,Cleveland,OH,city,640,730,700,790,620,720,1445
"=HYPERLINK(""https://www.cmc.edu/"", ""Claremont McKenna College"")",13.34%,$80781,7.79%,1262,$56475,$56475,Claremont,CA,suburb,660,730,670,770,690,760,1436
"=HYPERLINK(""https://www.holycross.edu/"", ""College of the Holy Cross"")",37.94%,$64279,1.84%,2962,$54770,$54770,Worcester,MA,city,640,710,650,720,,,1371
"=HYPERLINK(""https://www.mines.edu/"", ""Colorado School of Mines"")",54.97%,$76135,11.81%,5173,$19100,$39800,Golden,CO,suburb,620,700,650,740,560,650,1372
"=HYPERLINK(""https://www.columbia.edu/"", ""Columbia University in the City of New York"")",6.66%,$79434,13.58%,8148,$61671,$61671,New York,NY,city,720,770,740,800,690,790,1517
