Name,City,State,Setting,In-state Tuition,Out-of-state Tuition,Undergrad Size,6-year Median Salary,Admission Rate,% of CS Degrees,SAT 25th % Critical Reading,SAT 75th % Critical Reading,SAT 25th % Math,SAT 75th % Math,SAT 25th % Writing,SAT 75th % Writing,SAT Average
"=HYPERLINK(""https://www.bc.edu/"", ""Boston College"")",Chestnut Hill,MA,city,60202,60202,9681,70858,0.2638,0.0422,660,730,670,770,640,730,1433
"=HYPERLINK(""https://www.brown.edu/"", ""Brown University"")",Providence,RI,city,60696,60696,6632,60341,0.0767,0.1228,710,770,730,790,690,780,1508
"=HYPERLINK(""https://www.bucknell.edu/"", ""Bucknell University"")",Lewisburg,PA,town,58202,58202,3684,70178,0.3753,0.0188,620,700,630,730,590,690,1353
"=HYPERLINK(""https://www.caltech.edu/"", ""California Institute of Technology"")",Pasadena,CA,city,56862,56862,901,129420,0.0669,0.3527,740,780,790,800,730,800,1566
"=HYPERLINK(""https://calpoly.edu/"", ""California Polytechnic State University-San Luis Obispo"")",San Luis Obispo,CA,suburb,10071,25971,21451,66662,0.3843,0.0394,610,690,610,720,,,1325
"=HYPERLINK(""https://www.cmu.edu/"", ""Carnegie Mellon University"")",Pittsburgh,PA,city,58810,58810,6539,87824,0.1727,0.1372,700,760,760,800,670,760,1513
"=HYPERLINK(""https://www.case.edu/"", ""Case Western Reserve University"")",Cleveland,OH,city,52948,52948,5360,65156,0.3027,0.1034,640,730,700,790,620,720,1445
"=HYPERLINK(""https://www.cmc.edu/"", ""Claremont McKenna College"")",Claremont,CA,suburb,56475,56475,1262,80781,0.1334,0.0779,660,730,670,770,690,760,1436
"=HYPERLINK(""https://www.holycross.edu/"", ""College of the Holy Cross"")",Worcester,MA,city,54770,54770,2962,64279,0.3794,0.0184,640,710,650,720,,,1371
"=HYPERLINK(""https://www.mines.edu/"", ""Colorado School of Mines"")",Golden,CO,suburb,19100,39800,5173,76135,0.5497,0.1181,620,700,650,740,560,650,1372
"=HYPERLINK(""https://www.columbia.edu/"", ""Columbia University in the City of New York"")",New York,NY,city,61671,61671,8148,79434,0.0666,0.1358,720,770,740,800,690,790,1517
"=HYPERLINK(""https://www.cornell.edu/"", ""Cornell University"")",Ithaca,NY,city,59282,59282,14741,78779,0.1071,0.1282,680,750,720,790,,,1480
"=HYPERLINK(""https://www.dartmouth.edu/"", ""Dartmouth College"")",Hanover,NH,town,60117,60117,4146,70635,0.0922,0.0888,710,770,730,790,670,780,1500
"=HYPERLINK(""https://www.duke.edu/"", ""Duke University"")",Durham,NC,city,57633,57633,6650,77260,0.0774,0.1213,720,770,750,800,690,780,1530
"=HYPERLINK(""https://worldwide.erau.edu/"", ""Embry-Riddle Aeronautical University-Worldwide"")",Daytona Beach,FL,city,10296,10296,10070,62242,0.6272,0.0954,,,,,,,
"=HYPERLINK(""https://www.emory.edu/"", ""Emory University"")",Atlanta,GA,city,53868,53868,6978,61633,0.1917,0.0186,680,740,700,790,640,730,1459
"=HYPERLINK(""https://www.excelsior.edu/"", ""Excelsior College"")",Albany,NY,city,,,19624,61752,1,0.0107,,,,,,,
"=HYPERLINK(""https://www.gwu.edu/"", ""George Washington University"")",Washington,DC,city,58640,58640,11106,62584,0.4304,0.0516,640,720,630,730,600,690,1385
"=HYPERLINK(""https://www.georgetown.edu/"", ""Georgetown University"")",Washington,DC,city,57928,57928,7119,71107,0.1681,0.0221,690,760,690,790,,,1473
"=HYPERLINK(""https://www.gatech.edu/"", ""Georgia Institute of Technology-Main Campus"")",Atlanta,GA,city,12852,33964,15743,78659,0.2134,0.1812,670,740,700,790,640,730,1465
"=HYPERLINK(""https://www.harvard.edu/"", ""Harvard University"")",Cambridge,MA,city,54002,54002,6099,77816,0.0501,0.0998,720,780,740,800,710,790,1520
"=HYPERLINK(""https://www.hmc.edu/"", ""Harvey Mudd College"")",Claremont,CA,suburb,58660,58660,827,112059,0.1796,0.226,720,770,770,800,680,760,1534
"=HYPERLINK(""https://www.iit.edu/"", ""Illinois Institute of Technology"")",Chicago,IL,city,50490,50490,2974,63663,0.6066,0.2087,570,670,630,720,,,1311
"=HYPERLINK(""https://www.jhu.edu/"", ""Johns Hopkins University"")",Baltimore,MD,city,54160,54160,5752,75418,0.1106,0.0705,720,760,750,800,670,770,1532
"=HYPERLINK(""https://www.lafayette.edu/"", ""Lafayette College"")",Easton,PA,suburb,55742,55742,2489,66921,0.3557,0.0367,620,710,630,730,590,690,1360
"=HYPERLINK(""https://www.lehigh.edu/"", ""Lehigh University"")",Bethlehem,PA,city,55260,55260,5191,79832,0.4954,0.0995,610,693,650,740,,,1366
"=HYPERLINK(""https://www.loyola.edu/"", ""Loyola University Maryland"")",Baltimore,MD,city,51100,51100,3813,61084,0.8024,0.024,,,,,,,
"=HYPERLINK(""https://www.manhattan.edu/"", ""Manhattan College"")",Riverdale,NY,city,45880,45880,3352,66043,0.7765,0.0276,,,,,480,590,
"=HYPERLINK(""https://web.mit.edu/"", ""Massachusetts Institute of Technology"")",Cambridge,MA,city,53450,53450,4360,112623,0.0726,0.3566,730,780,780,800,690,780,1550
"=HYPERLINK(""https://www.mst.edu/"", ""Missouri University of Science and Technology"")",Rolla,MO,town,10165,28116,6050,65427,0.8146,0.1174,598,670,640,720,490,640,1328
"=HYPERLINK(""https://www.neumont.edu/"", ""Neumont College of Computer Science"")",Salt Lake City,UT,city,25440,25440,529,69186,0.9069,1,,,,,,,
"=HYPERLINK(""https://www.nyu.edu/"", ""New York University"")",New York,NY,city,54880,54880,27276,60407,0.2109,0.0735,670,740,700,800,630,730,1458
"=HYPERLINK(""https://www.northeastern.edu/"", ""Northeastern University"")",Boston,MA,city,55452,55452,15130,65632,0.2048,0.0802,690,750,720,790,640,730,1492
"=HYPERLINK(""https://www.northeastern.edu/"", ""Northeastern University Professional Programs"")",Boston,MA,city,,,2004,65632,,0.0726,,,,,,,
"=HYPERLINK(""https://www.northwestern.edu/"", ""Northwestern University"")",Evanston,IL,city,58701,58701,8401,67867,0.0931,0.0613,700,760,730,790,680,770,1505
"=HYPERLINK(""https://www.princeton.edu/"", ""Princeton University"")",Princeton,NJ,city,48502,48502,4688,84713,0.0563,0.1246,710,770,740,800,710,790,1506
"=HYPERLINK(""https://www.providence.edu/"", ""Providence College"")",Providence,RI,city,54388,54388,4242,62565,0.5386,0.0105,610,680,600,680,,,1301
"=HYPERLINK(""https://www.qu.edu/"", ""Quinnipiac University"")",Hamden,CT,suburb,50760,50760,6787,60948,0.8239,0.0069,,,,,490,590,
"=HYPERLINK(""https://www.rpi.edu/"", ""Rensselaer Polytechnic Institute"")",Troy,NY,city,57012,57012,6265,77899,0.5726,0.1774,620,720,680,780,,,1410
"=HYPERLINK(""https://www.rice.edu/"", ""Rice University"")",Houston,TX,city,51107,51107,4052,63654,0.1089,0.1232,710,770,750,800,680,770,1533
"=HYPERLINK(""https://www.rose-hulman.edu/"", ""Rose-Hulman Institute of Technology"")",Terre Haute,IN,city,52914,52914,1969,79785,0.7662,0.1535,610,700,650,760,550,660,1371
"=HYPERLINK(""https://www.scu.edu/"", ""Santa Clara University"")",Santa Clara,CA,city,52998,52998,5606,77174,0.5072,0.0071,630,700,640,750,,,1367
"=HYPERLINK(""https://www.smu.edu/"", ""Southern Methodist University"")",Dallas,TX,suburb,58540,58540,6793,60398,0.5267,0.027,630,710,620,740,600,690,1388
"=HYPERLINK(""https://www.stanford.edu/"", ""Stanford University"")",Stanford,CA,suburb,56169,56169,6366,88873,0.0519,0.1797,700,770,720,800,690,780,1491
"=HYPERLINK(""https://www.stevens.edu/"", ""Stevens Institute of Technology"")",Hoboken,NJ,suburb,55952,55952,3787,82237,0.5306,0.1202,640,710,680,770,,,1415
"=HYPERLINK(""https://www.trincoll.edu/"", ""Trinity College"")",Hartford,CT,city,59050,59050,2194,61447,0.3604,0.0389,,,,,,,
"=HYPERLINK(""https://www.union.edu/"", ""Union College"")",Schenectady,NY,city,59502,59502,2035,63542,0.4126,0.02,600,680,610,720,,,1339
"=HYPERLINK(""https://www.berkeley.edu/"", ""University of California-Berkeley"")",Berkeley,CA,city,14312,44066,30796,65914,0.1748,0.1113,650,740,660,790,630,760,1437
"=HYPERLINK(""https://www.uchicago.edu/"", ""University of Chicago"")",Chicago,IL,city,60552,60552,7010,62671,0.0731,0.0524,730,770,770,800,700,780,1537
"=HYPERLINK(""https://umich.edu/"", ""University of Michigan-Ann Arbor"")",Ann Arbor,MI,city,15948,52266,31189,62027,0.2611,0.1429,660,740,680,780,640,730,1445
"=HYPERLINK(""https://www.nd.edu/"", ""University of Notre Dame"")",Notre Dame,IN,suburb,57699,57699,8854,76123,0.1899,0.0607,690,760,710,790,,,1489
"=HYPERLINK(""https://www.upenn.edu/"", ""University of Pennsylvania"")",Philadelphia,PA,city,60042,60042,10507,80445,0.0898,0.0712,710,770,750,800,690,780,1517
"=HYPERLINK(""https://www.richmond.edu/"", ""University of Richmond"")",University of Richmond,VA,city,56860,56860,3304,61214,0.309,0.0629,630,710,650,750,610,700,1394
"=HYPERLINK(""https://www.usc.edu/"", ""University of Southern California"")",Los Angeles,CA,city,60275,60275,19521,65748,0.1611,0.0522,660,740,680,790,650,750,1441
"=HYPERLINK(""https://www.virginia.edu/"", ""University of Virginia-Main Campus"")",Charlottesville,VA,suburb,18960,52843,17076,64712,0.2258,0.0447,660,740,660,770,620,720,1426
"=HYPERLINK(""https://www.vanderbilt.edu/"", ""Vanderbilt University"")",Nashville,TN,city,54158,54158,7052,65261,0.1162,0.0674,720,770,750,800,690,770,1520
"=HYPERLINK(""https://www.villanova.edu/"", ""Villanova University"")",Villanova,PA,suburb,57460,57460,6980,77358,0.3066,0.0501,650,710,670,750,590,690,1406
"=HYPERLINK(""https://www.wfu.edu/"", ""Wake Forest University"")",Winston-Salem,NC,city,57760,57760,5438,60081,0.3198,0.0245,,,,,,,
"=HYPERLINK(""https://www.wustl.edu/"", ""Washington University in St Louis"")",Saint Louis,MO,suburb,57386,57386,7366,64543,0.1602,0.0807,720,760,760,800,690,770,1520
"=HYPERLINK(""https://www.wlu.edu/"", ""Washington and Lee University"")",Lexington,VA,town,57285,57285,1820,66267,0.2451,0.0314,670,740,680,760,650,730,1451
"=HYPERLINK(""https://www.wpi.edu/"", ""Worcester Polytechnic Institute"")",Worcester,MA,city,54416,54416,4804,77597,0.5905,0.1764,,,,,,,
"=HYPERLINK(""https://www.yale.edu/"", ""Yale University"")",New Haven,CT,city,57700,57700,4701,72046,0.0653,0.0725,720,780,740,800,710,790,1520
