Name,Admission Rate,6-year Median Salary,CS Degree %,Undergrad Size,In-state Tuition,Out-of-state Tuition,City,State,Setting,SAT 25th % Critical Reading,SAT 75th % Critical Reading,SAT 25th % Math,SAT 75th % Math,SAT 25th % Writing,SAT 75th % Writing,SAT Average,US News Link
"=HYPERLINK(""https://web.mit.edu/"", ""Massachusetts Institute of Technology"")",7.26%,$112623,35.66%,4360,$53450,$53450,Cambridge,MA,city,730,780,780,800,690,780,1550,https://www.usnews.com/best-colleges/massachusetts-institute-of-technology-2178
"=HYPERLINK(""https://www.stanford.edu/"", ""Stanford University"")",5.19%,$88873,17.97%,6366,$56169,$56169,Stanford,CA,suburb,700,770,720,800,690,780,1491,https://www.usnews.com/best-colleges/stanford-university-1305
"=HYPERLINK(""https://www.ucla.edu/"", ""University of California-Los Angeles"")",14.33%,$55427,3.0%,31636,$13249,$43003,Los Angeles,CA,city,,,,,590,730,,https://www.usnews.com/best-colleges/university-of-california-los-angeles-1315
"=HYPERLINK(""https://www.harvard.edu/"", ""Harvard University"")",5.01%,$77816,9.98%,6099,$54002,$54002,Cambridge,MA,city,720,780,740,800,710,790,1520,https://www.usnews.com/best-colleges/harvard-university-2155
"=HYPERLINK(""https://www.princeton.edu/"", ""Princeton University"")",5.63%,$84713,12.46%,4688,$48502,$48502,Princeton,NJ,city,710,770,740,800,710,790,1506,https://www.usnews.com/best-colleges/princeton-university-2627
"=HYPERLINK(""https://www.uchicago.edu/"", ""University of Chicago"")",7.31%,$62671,5.24%,7010,$60552,$60552,Chicago,IL,city,730,770,770,800,700,780,1537,https://www.usnews.com/best-colleges/university-of-chicago-1774
"=HYPERLINK(""https://www.upenn.edu/"", ""University of Pennsylvania"")",8.98%,$80445,7.12%,10507,$60042,$60042,Philadelphia,PA,city,710,770,750,800,690,780,1517,https://www.usnews.com/best-colleges/university-of-pennsylvania-3378
"=HYPERLINK(""https://www.yale.edu/"", ""Yale University"")",6.53%,$72046,7.25%,4701,$57700,$57700,New Haven,CT,city,720,780,740,800,710,790,1520,https://www.usnews.com/best-colleges/yale-university-1426
"=HYPERLINK(""https://www.rice.edu/"", ""Rice University"")",10.89%,$63654,12.32%,4052,$51107,$51107,Houston,TX,city,710,770,750,800,680,770,1533,https://www.usnews.com/best-colleges/rice-3604
"=HYPERLINK(""https://www.berkeley.edu/"", ""University of California-Berkeley"")",17.48%,$65914,11.13%,30796,$14312,$44066,Berkeley,CA,city,650,740,660,790,630,760,1437,https://www.usnews.com/best-colleges/university-of-california-berkeley-1312
"=HYPERLINK(""https://www.umd.edu/"", ""University of Maryland-College Park"")",50.96%,$59719,14.24%,30214,$10779,$36891,College Park,MD,suburb,630,720,640,760,,,1391,https://www.usnews.com/best-colleges/university-of-maryland-2103
"=HYPERLINK(""https://www.uci.edu/"", ""University of California-Irvine"")",29.92%,$52679,10.68%,29627,$13753,$43507,Irvine,CA,city,600,680,630,750,510,620,1339,https://www.usnews.com/best-colleges/university-of-california-irvine-1314
"=HYPERLINK(""https://www.ucsd.edu/"", ""University of California-San Diego"")",36.61%,$56844,5.86%,31827,$14648,$44402,La Jolla,CA,city,620,710,650,770,600,710,1387,https://www.usnews.com/best-colleges/university-of-california-san-diego-1317
"=HYPERLINK(""https://www.cornell.edu/"", ""Cornell University"")",10.71%,$78779,12.82%,14741,$59282,$59282,Ithaca,NY,city,680,750,720,790,,,1480,https://www.usnews.com/best-colleges/cornell-university-2711
"=HYPERLINK(""https://ucdavis.edu/"", ""University of California-Davis"")",46.35%,$54621,3.42%,31142,$14597,$44351,Davis,CA,suburb,570,670,590,730,530,650,1299,https://www.usnews.com/best-colleges/university-of-california-davis-1313
"=HYPERLINK(""https://www.cmu.edu/"", ""Carnegie Mellon University"")",17.27%,$87824,13.72%,6539,$58810,$58810,Pittsburgh,PA,city,700,760,760,800,670,760,1513,https://www.usnews.com/best-colleges/carnegie-mellon-university-3242
"=HYPERLINK(""https://www.ucsb.edu/"", ""University of California-Santa Barbara"")",36.7%,$51496,2.17%,23166,$14406,$44160,Santa Barbara,CA,suburb,620,710,610,750,510,630,1369,https://www.usnews.com/best-colleges/university-of-california-santa-barbara-1320
"=HYPERLINK(""https://www.caltech.edu/"", ""California Institute of Technology"")",6.69%,$129420,35.27%,901,$56862,$56862,Pasadena,CA,city,740,780,790,800,730,800,1566,https://www.usnews.com/best-colleges/california-institute-of-technology-1131
"=HYPERLINK(""https://www.jhu.edu/"", ""Johns Hopkins University"")",11.06%,$75418,7.05%,5752,$54160,$54160,Baltimore,MD,city,720,760,750,800,670,770,1532,https://www.usnews.com/best-colleges/jhu-2077
"=HYPERLINK(""https://umich.edu/"", ""University of Michigan-Ann Arbor"")",26.11%,$62027,14.29%,31189,$15948,$52266,Ann Arbor,MI,city,660,740,680,780,640,730,1445,https://www.usnews.com/best-colleges/university-of-michigan-ann-arbor-9092
"=HYPERLINK(""https://www.utexas.edu/"", ""The University of Texas at Austin"")",31.95%,$54287,4.34%,39624,$11448,$40032,Austin,TX,city,610,720,600,750,560,690,1349,https://www.usnews.com/best-colleges/university-of-texas-at-austin-3658
"=HYPERLINK(""https://www.gatech.edu/"", ""Georgia Institute of Technology-Main Campus"")",21.34%,$78659,18.12%,15743,$12852,$33964,Atlanta,GA,city,670,740,700,790,640,730,1465,https://www.usnews.com/best-colleges/georgia-institute-of-technology-1569
"=HYPERLINK(""https://www.purdue.edu/"", ""Purdue University-Main Campus"")",67.15%,$54717,9.33%,35517,$9992,$28794,West Lafayette,IN,city,580,680,590,740,510,630,1315,https://www.usnews.com/best-colleges/purdue-university-west-lafayette-1825
"=HYPERLINK(""https://www.illinois.edu/"", ""University of Illinois Urbana-Champaign"")",63.3%,$59402,4.16%,33001,$15150,$32600,Champaign,IL,city,590,690,610,770,590,690,1352,https://www.usnews.com/best-colleges/university-of-illinois-urbanachampaign-1775
"=HYPERLINK(""https://www.washington.edu/"", ""University of Washington-Seattle Campus"")",55.86%,$55968,9.06%,31145,$11745,$39114,Seattle,WA,city,590,700,610,753,530,650,1341,https://www.usnews.com/best-colleges/university-of-washington-3798
"=HYPERLINK(""https://www.osu.edu/"", ""Ohio State University-Main Campus"")",68.49%,$44737,0.98%,45862,$11518,$33502,Columbus,OH,city,590,690,620,740,560,660,1337,https://www.usnews.com/best-colleges/ohio-state-6883
"=HYPERLINK(""https://www.wisc.edu/"", ""University of Wisconsin-Madison"")",57.25%,$55313,5.84%,31651,$10742,$38630,Madison,WI,city,610,690,650,770,590,690,1364,https://www.usnews.com/best-colleges/university-of-wisconsin-3895
