Name,Admission Rate,6-year Median Salary,CS Degree %,Undergrad Size,In-state Tuition,Out-of-state Tuition,City,State,Setting,SAT 25th % Critical Reading,SAT 75th % Critical Reading,SAT 25th % Math,SAT 75th % Math,SAT 25th % Writing,SAT 75th % Writing,SAT Average,US News Link
"=HYPERLINK(""https://www.columbia.edu/"", ""Columbia University in the City of New York"")",6.66%,$79434,13.58%,8148,$61671,$61671,New York,NY,city,720,770,740,800,690,790,1517,https://www.usnews.com/best-colleges/columbia-university-2707
"=HYPERLINK(""https://www.duke.edu/"", ""Duke University"")",7.74%,$77260,12.13%,6650,$57633,$57633,Durham,NC,city,720,770,750,800,690,780,1530,https://www.usnews.com/best-colleges/duke-university-2920
"=HYPERLINK(""https://www.umass.edu/"", ""University of Massachusetts-Amherst"")",65.32%,$52450,4.99%,23884,$16439,$36427,Amherst,MA,suburb,600,680,600,710,,,1307,https://www.usnews.com/best-colleges/umass-amherst-2221
"=HYPERLINK(""https://www.brown.edu/"", ""Brown University"")",7.67%,$60341,12.28%,6632,$60696,$60696,Providence,RI,city,710,770,730,790,690,780,1508,https://www.usnews.com/best-colleges/brown-university-3401
"=HYPERLINK(""https://www.unc.edu/"", ""University of North Carolina at Chapel Hill"")",25.0%,$51002,7.76%,19261,$8980,$36159,Chapel Hill,NC,city,640,730,640,760,590,700,1393,https://www.usnews.com/best-colleges/unc-2974
"=HYPERLINK(""https://www.northwestern.edu/"", ""Northwestern University"")",9.31%,$67867,6.13%,8401,$58701,$58701,Evanston,IL,city,700,760,730,790,680,770,1505,https://www.usnews.com/best-colleges/northwestern-university-1739
"=HYPERLINK(""https://www.virginia.edu/"", ""University of Virginia-Main Campus"")",22.58%,$64712,4.47%,17076,$18960,$52843,Charlottesville,VA,suburb,660,740,660,770,620,720,1426,https://www.usnews.com/best-colleges/uva-6968
"=HYPERLINK(""https://www.hmc.edu/"", ""Harvey Mudd College"")",17.96%,$112059,22.6%,827,$58660,$58660,Claremont,CA,suburb,720,770,770,800,680,760,1534,https://www.usnews.com/best-colleges/harvey-mudd-college-1171
"=HYPERLINK(""https://www.usc.edu/"", ""University of Southern California"")",16.11%,$65748,5.22%,19521,$60275,$60275,Los Angeles,CA,city,660,740,680,790,650,750,1441,https://www.usnews.com/best-colleges/university-of-southern-california-1328
"=HYPERLINK(""https://www.dartmouth.edu/"", ""Dartmouth College"")",9.22%,$70635,8.88%,4146,$60117,$60117,Hanover,NH,town,710,770,730,790,670,780,1500,https://www.usnews.com/best-colleges/dartmouth-college-2573
"=HYPERLINK(""https://www.tufts.edu/"", ""Tufts University"")",16.3%,$54590,12.31%,6053,$60862,$60862,Medford,MA,suburb,680,750,700,780,680,750,1474,https://www.usnews.com/best-colleges/tufts-university-2219
"=HYPERLINK(""https://www.wustl.edu/"", ""Washington University in St Louis"")",16.02%,$64543,8.07%,7366,$57386,$57386,Saint Louis,MO,suburb,720,760,760,800,690,770,1520,https://www.usnews.com/best-colleges/washington-university-in-st-louis-2520
"=HYPERLINK(""https://www.rpi.edu/"", ""Rensselaer Polytechnic Institute"")",57.26%,$77899,17.74%,6265,$57012,$57012,Troy,NY,city,620,720,680,780,,,1410,https://www.usnews.com/best-colleges/rpi-2803
"=HYPERLINK(""https://www.pomona.edu/"", ""Pomona College"")",8.62%,$44630,8.4%,1462,$54774,$54774,Claremont,CA,suburb,,,,,680,770,,https://www.usnews.com/best-colleges/pomona-college-1173
"=HYPERLINK(""https://www.vanderbilt.edu/"", ""Vanderbilt University"")",11.62%,$65261,6.74%,7052,$54158,$54158,Nashville,TN,city,720,770,750,800,690,770,1520,https://www.usnews.com/best-colleges/vanderbilt-3535
"=HYPERLINK(""https://www.williams.edu/"", ""Williams College"")",15.12%,$59277,10.35%,1917,$50450,$50450,Williamstown,MA,town,,,,,670,780,,https://www.usnews.com/best-colleges/williams-college-2229
"=HYPERLINK(""https://www.wpi.edu/"", ""Worcester Polytechnic Institute"")",59.05%,$77597,17.64%,4804,$54416,$54416,Worcester,MA,city,,,,,,,,https://www.usnews.com/best-colleges/wpi-2233
