Name,US N&W ID
Massachusetts Institute of Technology,massachusetts-institute-of-technology-2178
Stanford University,stanford-university-1305
University of California-Los Angeles,university-of-california-los-angeles-1315
Harvard University,harvard-university-2155
Princeton University,princeton-university-2627
University of Chicago,university-of-chicago-1774
University of Pennsylvania,university-of-pennsylvania-3378
Yale University,yale-university-1426
Rice University,rice-3604
University of California-Berkeley,university-of-california-berkeley-1312
University of Maryland-College Park,university-of-maryland-2103
University of California-Irvine,university-of-california-irvine-1314
University of California-San Diego,university-of-california-san-diego-1317
Cornell University,cornell-university-2711
University of California-Davis,university-of-california-davis-1313
Carnegie Mellon University,carnegie-mellon-university-3242
University of California-Santa Barbara,university-of-california-santa-barbara-1320
California Institute of Technology,california-institute-of-technology-1131
Johns Hopkins University,jhu-2077
University of Michigan-Ann Arbor,university-of-michigan-ann-arbor-9092
The University of Texas at Austin,university-of-texas-at-austin-3658
Georgia Institute of Technology,georgia-institute-of-technology-1569
Purdue University-Main Campus,purdue-university-west-lafayette-1825
UIUC,university-of-illinois-urbanachampaign-1775
University of Washington-Seattle Campus,university-of-washington-3798
Ohio State University-Main Campus,ohio-state-6883
University of Wisconsin-Madison,university-of-wisconsin-3895
